Title,Link,Date,Source,Summary,Term,LanguageQueried
World News | Pakistani Forces Accused of Eliminating a Political Figure in the Dalbandin Operation - LatestLY,https://news.google.com/rss/articles/CBMi5AFBVV95cUxNQXo4ZjAzTHBNOENYQ1FnYnp3QTV6SzBRNnlfN29JLVpvbTk4WWFjaC1yMjFEZ25BdnRKWE9KX09NWjZsay01UXBudEVoYUlSOHQ5Z3dKLXFsZlhOVkI0bmxLRVR1a24teWVoSlJoZ2ZDVlZLMWcwTF9Id21HZmdaLTJyQXE3Vk9GYUs3X2NZTkpIQ2I4a1pUY0QyY1h3MVpxUHFldVZHUkpUR2VQX1pkLWdCbWFMNl9NZlQ2ek1IT3UtMFhjR0J1cWdhTnU1a3FrMjVqMjRFUE1nUVlYUTVpeVVldVPSAeQBQVVfeXFMTUF6OGYwM0xwTThDWENRZ2J6d0E1ekswUTZ5XzdvSS1ab205OFlhY2gtcjIxRGduQXZ0SlhPSl9PTVo2bGstNVFwbnRFaGFJUjh0OWd3Si1xbGZYTlZCNG5sS0VUdWtuLXllaEpSaGdmQ1ZWSzFnMExfSHdtR2ZnWi0yckFxN1ZPRmFLN19jWU5KSENiOGtaVGNEMmNYdzFacVBxZXVWR1JKVEdlUF9aZC1nQm1hTDZfTWZUNnpNSE91LTBYY0dCdXFnYU51NWtxazI1ajI0RVBNZ1FZWFE1aXlVZXVT?oc=5,2025-09-25 13:36:24,LatestLY,"<a href=""https://news.google.com/rss/articles/CBMi5AFBVV95cUxNQXo4ZjAzTHBNOENYQ1FnYnp3QTV6SzBRNnlfN29JLVpvbTk4WWFjaC1yMjFEZ25BdnRKWE9KX09NWjZsay01UXBudEVoYUlSOHQ5Z3dKLXFsZlhOVkI0bmxLRVR1a24teWVoSlJoZ2ZDVlZLMWcwTF9Id21HZmdaLTJyQXE3Vk9GYUs3X2NZTkpIQ2I4a1pUY0QyY1h3MVpxUHFldVZHUkpUR2VQX1pkLWdCbWFMNl9NZlQ2ek1IT3UtMFhjR0J1cWdhTnU1a3FrMjVqMjRFUE1nUVlYUTVpeVVldVPSAeQBQVVfeXFMTUF6OGYwM0xwTThDWENRZ2J6d0E1ekswUTZ5XzdvSS1ab205OFlhY2gtcjIxRGduQXZ0SlhPSl9PTVo2bGstNVFwbnRFaGFJUjh0OWd3Si1xbGZYTlZCNG5sS0VUdWtuLXllaEpSaGdmQ1ZWSzFnMExfSHdtR2ZnWi0yckFxN1ZPRmFLN19jWU5KSENiOGtaVGNEMmNYdzFacVBxZXVWR1JKVEdlUF9aZC1nQm1hTDZfTWZUNnpNSE91LTBYY0dCdXFnYU51NWtxazI1ajI0RVBNZ1FZWFE1aXlVZXVT?oc=5"" target=""_blank"">World News | Pakistani Forces Accused of Eliminating a Political Figure in the Dalbandin Operation</a>&nbsp;&nbsp;<font color=""#6f6f6f"">LatestLY</font>",Disaster,en
"UPSC Key: Ladakh protests, Climate action plan, and Super Typhoon Ragasa - The Indian Express",https://news.google.com/rss/articles/CBMiygFBVV95cUxPZFRfX0tBSk9qWnFKdlV1dzNwVVQ2aUtLT0ZXYlE2RDhFNTBhVG5oNWpXMVYyQ21ubVUtNUlQQUhvNXVnd2RjRWhFV0puOHkyRDhDVm5IdjhNVF9jdGpLREE2c05veFN6czZSRE9EUVF1NFJzeEVmdE5oNUpxZDgxa3JCNkVCcFJYYU9lV1FtenBjdXhBSGUxekJGVWpLQXkzYjUyaFNjQnRSeUJmUXdRUzlFOWdzeXk1VG5GWEloMnZtYTVzU19vcTFn0gHQAUFVX3lxTE05eHNlZERCUGh2SFFPaS03YTZxOUhQaXVXNDhsVHBZODdIR21Xd1plUU5jSlR1ZmFmN1EtVGtSNUF5YXVqQTVkNm5UR201bjN1V2ZkdV9pVFdONkFoNTJSUWNLdm1GOHNTdlJqNnpKT01TRDdHVE1pREt3SUpMaTZGUktFY1p2OHA5bnU0TGJDcnR3YkJPc3B4LWd6ektacExvNXByR1hEWVl0T2pUVS10eGU0dV9qaGR4S3JfTGNYcXRCYzVnNmp5UXVqR3BYYkI?oc=5,2025-09-25 18:36:00,The Indian Express,"<a href=""https://news.google.com/rss/articles/CBMiygFBVV95cUxPZFRfX0tBSk9qWnFKdlV1dzNwVVQ2aUtLT0ZXYlE2RDhFNTBhVG5oNWpXMVYyQ21ubVUtNUlQQUhvNXVnd2RjRWhFV0puOHkyRDhDVm5IdjhNVF9jdGpLREE2c05veFN6czZSRE9EUVF1NFJzeEVmdE5oNUpxZDgxa3JCNkVCcFJYYU9lV1FtenBjdXhBSGUxekJGVWpLQXkzYjUyaFNjQnRSeUJmUXdRUzlFOWdzeXk1VG5GWEloMnZtYTVzU19vcTFn0gHQAUFVX3lxTE05eHNlZERCUGh2SFFPaS03YTZxOUhQaXVXNDhsVHBZODdIR21Xd1plUU5jSlR1ZmFmN1EtVGtSNUF5YXVqQTVkNm5UR201bjN1V2ZkdV9pVFdONkFoNTJSUWNLdm1GOHNTdlJqNnpKT01TRDdHVE1pREt3SUpMaTZGUktFY1p2OHA5bnU0TGJDcnR3YkJPc3B4LWd6ektacExvNXByR1hEWVl0T2pUVS10eGU0dV9qaGR4S3JfTGNYcXRCYzVnNmp5UXVqR3BYYkI?oc=5"" target=""_blank"">UPSC Key: Ladakh protests, Climate action plan, and Super Typhoon Ragasa</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Indian Express</font>",Disaster,en
"Tropical Storm Humberto, Imelda tracker: Projected path, forecast as US and Bahamas face hurricane threats | Hindustan Times - Hindustan Times",https://news.google.com/rss/articles/CBMihAJBVV95cUxNdEM0WjliRE9faFh3Mmc0T2duY0QtekhoMGRmRkowMHo1VjBXeTZ6RWhOSUsybEVXNktlUEZuUVlKNU5nWmRPb2hmS21oOXY1Y2x4NXc0ZFZ2YmdvWm9ENGVRS05IdjNyZ2lYSEZpVnNzZGdVYjlHTXdqYVYyVTlJdV95VEpIOEhHYVZHU0ZZWEpCYjhBTXRpeUxKc3d5QmFlUjYxQUpYX0hVSGUyeElmYlBVa0w2V3RFRXlJaHJUWmY0QnlHRGxqaFhBT0d1S2trR1hnTDI0Tmcxbi1MRTFtWXhUb01RZTJZUmkxQjFZeTM2a0Jlc215dUkxM2FKYWRkeHZkdtIBigJBVV95cUxOOHNpM0R3TE9YVUloWFdJR1pZOVJKY0tHUVlBWmhvQUpadDAwX1NQd05fXzFyVnZmaVVhajFLMlptOC1oWUI4Wm9zUW9lUDdrTldTUWdLOUlBLUxBN1R4bk1vTGp4ZHhRQUluYjFpMVJBRFNZTWQyalozaTNfVHBpb0tRbEJvMXhGTlpZYmNrZzlFejNuS0ZmeG44LUE2VC04cFozd2ZEUXZoam8xendKQndySjV5WndpRzg0eENLY2VZa3NMbUQ5UXlMSVBkVjYwMEdIOXc0T1FYbE5Mdk55RUFBWU1HT0xJWFhYOU5ibFdxUUk4TXZyMkxOUnpFNVBxdnowVHpQRS1ydw?oc=5,2025-09-25 20:45:12,Hindustan Times,"<a href=""https://news.google.com/rss/articles/CBMihAJBVV95cUxNdEM0WjliRE9faFh3Mmc0T2duY0QtekhoMGRmRkowMHo1VjBXeTZ6RWhOSUsybEVXNktlUEZuUVlKNU5nWmRPb2hmS21oOXY1Y2x4NXc0ZFZ2YmdvWm9ENGVRS05IdjNyZ2lYSEZpVnNzZGdVYjlHTXdqYVYyVTlJdV95VEpIOEhHYVZHU0ZZWEpCYjhBTXRpeUxKc3d5QmFlUjYxQUpYX0hVSGUyeElmYlBVa0w2V3RFRXlJaHJUWmY0QnlHRGxqaFhBT0d1S2trR1hnTDI0Tmcxbi1MRTFtWXhUb01RZTJZUmkxQjFZeTM2a0Jlc215dUkxM2FKYWRkeHZkdtIBigJBVV95cUxOOHNpM0R3TE9YVUloWFdJR1pZOVJKY0tHUVlBWmhvQUpadDAwX1NQd05fXzFyVnZmaVVhajFLMlptOC1oWUI4Wm9zUW9lUDdrTldTUWdLOUlBLUxBN1R4bk1vTGp4ZHhRQUluYjFpMVJBRFNZTWQyalozaTNfVHBpb0tRbEJvMXhGTlpZYmNrZzlFejNuS0ZmeG44LUE2VC04cFozd2ZEUXZoam8xendKQndySjV5WndpRzg0eENLY2VZa3NMbUQ5UXlMSVBkVjYwMEdIOXc0T1FYbE5Mdk55RUFBWU1HT0xJWFhYOU5ibFdxUUk4TXZyMkxOUnpFNVBxdnowVHpQRS1ydw?oc=5"" target=""_blank"">Tropical Storm Humberto, Imelda tracker: Projected path, forecast as US and Bahamas face hurricane threats | Hindustan Times</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindustan Times</font>",Disaster,en
Old storm clip misrepresented as powerful Typhoon Ragasa - Yahoo News Malaysia,https://news.google.com/rss/articles/CBMijgFBVV95cUxQb0pLSmhwUjFqRy1sa0RBSWZ5ZS1vREdSU000eEpkd1h3UFhvbFoyY0c2NDZBX3I2S00wVVJuVXJhd0JxOC0zZkhwTlUyUlExQTEzdVQ3cUxyUTI2ZzljLVFRRndrSi1MQmRKUnh4dEM0MVRHSW9ZSlhaRk41U1gtcS00V2FDX0doUWtIVTdn?oc=5,2025-09-26 09:12:00,Yahoo News Malaysia,"<a href=""https://news.google.com/rss/articles/CBMijgFBVV95cUxQb0pLSmhwUjFqRy1sa0RBSWZ5ZS1vREdSU000eEpkd1h3UFhvbFoyY0c2NDZBX3I2S00wVVJuVXJhd0JxOC0zZkhwTlUyUlExQTEzdVQ3cUxyUTI2ZzljLVFRRndrSi1MQmRKUnh4dEM0MVRHSW9ZSlhaRk41U1gtcS00V2FDX0doUWtIVTdn?oc=5"" target=""_blank"">Old storm clip misrepresented as powerful Typhoon Ragasa</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Yahoo News Malaysia</font>",Disaster,en
"Flash flood warning in Boston - heavy rains, severe storms expected today, track all details if you are in - The Economic Times",https://news.google.com/rss/articles/CBMiogJBVV95cUxQcE8zd25DcUdCczJMdmtwU0N1QkI3c0VxejM4SmViZFFnU1RRT0doQjdFSWhFTzkxeUQ1T0JSdVhJdFlGYjIwNDBxMTZabDVxZVZacFlwVFo3RGxJSHFhQW1ELXpZc0ZXREoyOEFIUy1uUERPYzdfWnlCX09mT2F0d1NZTFFYdFNWWEZuclotcmZubUZSMjZqSVd6Zk9SQ0pFUU82Sndxd0Z4Qm0yNVIxeVdXZFNZZlljYVEzN1hjRGpNTllFSDBjUUp6MUR4dV9iY25WaHp6cVpvTGFXaEN1My11bGJxVlRFc21sRmZlSHQySEpXeFVLVVZkU1F6MUxyNS1FelFKRUN0VWVLOHZxdTk5N1gzSWdLeXotS0VKbmZLUdIBogJBVV95cUxQcE8zd25DcUdCczJMdmtwU0N1QkI3c0VxejM4SmViZFFnU1RRT0doQjdFSWhFTzkxeUQ1T0JSdVhJdFlGYjIwNDBxMTZabDVxZVZacFlwVFo3RGxJSHFhQW1ELXpZc0ZXREoyOEFIUy1uUERPYzdfWnlCX09mT2F0d1NZTFFYdFNWWEZuclotcmZubUZSMjZqSVd6Zk9SQ0pFUU82Sndxd0Z4Qm0yNVIxeVdXZFNZZlljYVEzN1hjRGpNTllFSDBjUUp6MUR4dV9iY25WaHp6cVpvTGFXaEN1My11bGJxVlRFc21sRmZlSHQySEpXeFVLVVZkU1F6MUxyNS1FelFKRUN0VWVLOHZxdTk5N1gzSWdLeXotS0VKbmZLUQ?oc=5,2025-09-25 18:47:00,The Economic Times,"<a href=""https://news.google.com/rss/articles/CBMiogJBVV95cUxQcE8zd25DcUdCczJMdmtwU0N1QkI3c0VxejM4SmViZFFnU1RRT0doQjdFSWhFTzkxeUQ1T0JSdVhJdFlGYjIwNDBxMTZabDVxZVZacFlwVFo3RGxJSHFhQW1ELXpZc0ZXREoyOEFIUy1uUERPYzdfWnlCX09mT2F0d1NZTFFYdFNWWEZuclotcmZubUZSMjZqSVd6Zk9SQ0pFUU82Sndxd0Z4Qm0yNVIxeVdXZFNZZlljYVEzN1hjRGpNTllFSDBjUUp6MUR4dV9iY25WaHp6cVpvTGFXaEN1My11bGJxVlRFc21sRmZlSHQySEpXeFVLVVZkU1F6MUxyNS1FelFKRUN0VWVLOHZxdTk5N1gzSWdLeXotS0VKbmZLUdIBogJBVV95cUxQcE8zd25DcUdCczJMdmtwU0N1QkI3c0VxejM4SmViZFFnU1RRT0doQjdFSWhFTzkxeUQ1T0JSdVhJdFlGYjIwNDBxMTZabDVxZVZacFlwVFo3RGxJSHFhQW1ELXpZc0ZXREoyOEFIUy1uUERPYzdfWnlCX09mT2F0d1NZTFFYdFNWWEZuclotcmZubUZSMjZqSVd6Zk9SQ0pFUU82Sndxd0Z4Qm0yNVIxeVdXZFNZZlljYVEzN1hjRGpNTllFSDBjUUp6MUR4dV9iY25WaHp6cVpvTGFXaEN1My11bGJxVlRFc21sRmZlSHQySEpXeFVLVVZkU1F6MUxyNS1FelFKRUN0VWVLOHZxdTk5N1gzSWdLeXotS0VKbmZLUQ?oc=5"" target=""_blank"">Flash flood warning in Boston - heavy rains, severe storms expected today, track all details if you are in</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Economic Times</font>",Disaster,en
Flash flood warning issued in Boston as storms wreak havoc in Massachusetts | Hindustan Times - Hindustan Times,https://news.google.com/rss/articles/CBMi1gFBVV95cUxOUFdyV2l1Z1FQdURYdmVYNUNSZW1iSGZDRGFpV3dyREFYUjJVNVJNV19tRVpqd1k5Tmp3X1AweXRLUDBxNmUwVG5GMk03NmFLaVlsTFMwVUpxbjR4WG9SOTZKOUFGaTNxY2JCalUxbFRLLVNvTzluQlZPX0N4V1ZPbEVsY1hoQWVvd0JoeW9CVXdNaHkzaDBvQS02aHhnNE5jWTFrY0tkOWppQzB4X0FnSGVqbmYxSElwR3hXNmZvdTEyTURsZmlxNUc4S2ozN1llNFE4ZEFR0gHbAUFVX3lxTE9ndXA1ZE1NTzFBU3B4b1V3aVBOS25JX0JHekhxeGtaQklQYjRncXNobF8tbVZ1b205dlZZZGJGWDFYcGh3cm8wT0ZURFpnSjIzUmtqRnd0TjhGQ2o1UFZ3bDYtR3lsTU4zQXQ2WHhUZkFXbkFfakZnbHdRTnFiMHhWZl9od3VVR0hKOXRUZ1RILWJMUFNudzF4Sks0UlFlRUI2Q2VYSkdfT2trRVlWQkVtdjFtblJfZWZNUnRQa2xXT0M4UWJNMnFaN2hkazhJRlpiLVJKWENRTVJoUQ?oc=5,2025-09-25 23:25:21,Hindustan Times,"<a href=""https://news.google.com/rss/articles/CBMi1gFBVV95cUxOUFdyV2l1Z1FQdURYdmVYNUNSZW1iSGZDRGFpV3dyREFYUjJVNVJNV19tRVpqd1k5Tmp3X1AweXRLUDBxNmUwVG5GMk03NmFLaVlsTFMwVUpxbjR4WG9SOTZKOUFGaTNxY2JCalUxbFRLLVNvTzluQlZPX0N4V1ZPbEVsY1hoQWVvd0JoeW9CVXdNaHkzaDBvQS02aHhnNE5jWTFrY0tkOWppQzB4X0FnSGVqbmYxSElwR3hXNmZvdTEyTURsZmlxNUc4S2ozN1llNFE4ZEFR0gHbAUFVX3lxTE9ndXA1ZE1NTzFBU3B4b1V3aVBOS25JX0JHekhxeGtaQklQYjRncXNobF8tbVZ1b205dlZZZGJGWDFYcGh3cm8wT0ZURFpnSjIzUmtqRnd0TjhGQ2o1UFZ3bDYtR3lsTU4zQXQ2WHhUZkFXbkFfakZnbHdRTnFiMHhWZl9od3VVR0hKOXRUZ1RILWJMUFNudzF4Sks0UlFlRUI2Q2VYSkdfT2trRVlWQkVtdjFtblJfZWZNUnRQa2xXT0M4UWJNMnFaN2hkazhJRlpiLVJKWENRTVJoUQ?oc=5"" target=""_blank"">Flash flood warning issued in Boston as storms wreak havoc in Massachusetts | Hindustan Times</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindustan Times</font>",Disaster,en
"Ladakh Weather Report: Clear Skies, Crisp Temperatures Between 9°C and 16°C - Outlook India",https://news.google.com/rss/articles/CBMirgFBVV95cUxNdTBHbWJwdFA1Z1Z0bExjNnhmbF9ieGxoam1ZZjFJdGU0cDZpX0RlQWJDVVJ4c0VJNC1KX29fMTd0Zzc0UGpPODB2UXBsRWF2RjJQZ0tnSml3VHVZQ05UdkRyR0g3U0ktNEZacFFwVzA4dDZRVVhzSEdEeG82MFAwT25JRWpGbVloQXZ3Znk2SWJKQ1Vjazh4V1Z2Q2QxNk4tczVKSVFGZWRBVE56VVHSAbsBQVVfeXFMT3E0eVctX1VVV3lySGQ3Sjd6M0R3NzRDWFJvOXNna0NNUVB3OFZpcG1wMnZMSWVYMERSa3NCMHRIVDE4Qm1BNTY2Y3d1RTgwMUFmUFNlZjhoWTZEbG5EczV1cEdaRWNtYWNOTHNaQ3F6SXJFaTNxRkhhQTNHVjh3MTBXbVotWWRnM0pTYnVpaHIzT1ZMRUdtRHlRT0pod3R6eGdCUzNuZWhIVk5zazJ4MDNJcVJvTUZma0N4cw?oc=5,2025-09-25 11:43:48,Outlook India,"<a href=""https://news.google.com/rss/articles/CBMirgFBVV95cUxNdTBHbWJwdFA1Z1Z0bExjNnhmbF9ieGxoam1ZZjFJdGU0cDZpX0RlQWJDVVJ4c0VJNC1KX29fMTd0Zzc0UGpPODB2UXBsRWF2RjJQZ0tnSml3VHVZQ05UdkRyR0g3U0ktNEZacFFwVzA4dDZRVVhzSEdEeG82MFAwT25JRWpGbVloQXZ3Znk2SWJKQ1Vjazh4V1Z2Q2QxNk4tczVKSVFGZWRBVE56VVHSAbsBQVVfeXFMT3E0eVctX1VVV3lySGQ3Sjd6M0R3NzRDWFJvOXNna0NNUVB3OFZpcG1wMnZMSWVYMERSa3NCMHRIVDE4Qm1BNTY2Y3d1RTgwMUFmUFNlZjhoWTZEbG5EczV1cEdaRWNtYWNOTHNaQ3F6SXJFaTNxRkhhQTNHVjh3MTBXbVotWWRnM0pTYnVpaHIzT1ZMRUdtRHlRT0pod3R6eGdCUzNuZWhIVk5zazJ4MDNJcVJvTUZma0N4cw?oc=5"" target=""_blank"">Ladakh Weather Report: Clear Skies, Crisp Temperatures Between 9°C and 16°C</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Outlook India</font>",Disaster,en
Moment: Typhoon Ragasa Floodwaters Smash Into Hong Kong Restaurant | CCTV Footage - The Indian Express,https://news.google.com/rss/articles/CBMixwFBVV95cUxPUVZhT0VVcnpCZDhCUnpNMGpCRTRDNVItbXRpUjQtNV9QeEQ2b0Q0X244TU82OWx1UW51WVJtbGo4ZnZSVVB3RHpUTnJGU3RpNGd4cGhSWjRYekdRYzhialkyRDNxQ0JWTklvd09yRUl1LTNMbDU2dnA5dGVFSU5xSkFGWjdCQlhIRXlONGE0eTY1aUxWSHQyUjg0M1A0Q0s1LUJtRUZVdDN5azRZMFFSQTNzWnlSdUE1RzVPLVlTYmlXUE1tcXJF0gHOAUFVX3lxTE9hek04alR0UW9CdFdWa01NT1l1aHJFVVRVTUtmd3FsRVBJUTN6d1diOWM5Q0VXX19GcldURVNjRGxxQWtpVGNRVHZCeVFxaWpvNF9DNzhydjl4TkRwZ2RuWGR0Mm92NlRkZVBwS0I2WDdWQzNNRl9vSjMtRXNpcU5pUHg5V1Qxdk5EdVhZQV93M210X09leGZDVGY5NGo4cDljdTN1NnZtZXZlb1NBZ1RsX1Ryam94ZkpZRUxsRHV3allXczc2RGNlX19IcEF3?oc=5,2025-09-25 17:15:05,The Indian Express,"<a href=""https://news.google.com/rss/articles/CBMixwFBVV95cUxPUVZhT0VVcnpCZDhCUnpNMGpCRTRDNVItbXRpUjQtNV9QeEQ2b0Q0X244TU82OWx1UW51WVJtbGo4ZnZSVVB3RHpUTnJGU3RpNGd4cGhSWjRYekdRYzhialkyRDNxQ0JWTklvd09yRUl1LTNMbDU2dnA5dGVFSU5xSkFGWjdCQlhIRXlONGE0eTY1aUxWSHQyUjg0M1A0Q0s1LUJtRUZVdDN5azRZMFFSQTNzWnlSdUE1RzVPLVlTYmlXUE1tcXJF0gHOAUFVX3lxTE9hek04alR0UW9CdFdWa01NT1l1aHJFVVRVTUtmd3FsRVBJUTN6d1diOWM5Q0VXX19GcldURVNjRGxxQWtpVGNRVHZCeVFxaWpvNF9DNzhydjl4TkRwZ2RuWGR0Mm92NlRkZVBwS0I2WDdWQzNNRl9vSjMtRXNpcU5pUHg5V1Qxdk5EdVhZQV93M210X09leGZDVGY5NGo4cDljdTN1NnZtZXZlb1NBZ1RsX1Ryam94ZkpZRUxsRHV3allXczc2RGNlX19IcEF3?oc=5"" target=""_blank"">Moment: Typhoon Ragasa Floodwaters Smash Into Hong Kong Restaurant | CCTV Footage</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Indian Express</font>",Disaster,en
Hong Kong reopens after world's most powerful cyclone Ragasa - The Morning,https://news.google.com/rss/articles/CBMiZkFVX3lxTE5aVm9FNGo2QUtyeHE5blN5OExWbklON0h4d0Z6QUJObER0NC1SZmRJdWRkR1ZZNTR3My1IMzV3YVR0YlZZdi1JRHB4RWxxU2lKMGlGU0R0ZEo4cFpUeTVFSEgzOG1xZw?oc=5,2025-09-25 13:25:23,The Morning,"<a href=""https://news.google.com/rss/articles/CBMiZkFVX3lxTE5aVm9FNGo2QUtyeHE5blN5OExWbklON0h4d0Z6QUJObER0NC1SZmRJdWRkR1ZZNTR3My1IMzV3YVR0YlZZdi1JRHB4RWxxU2lKMGlGU0R0ZEo4cFpUeTVFSEgzOG1xZw?oc=5"" target=""_blank"">Hong Kong reopens after world's most powerful cyclone Ragasa</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Morning</font>",Disaster,en
"Super Typhoon Ragasa Landfall in China: 15 Killed in Taiwan, 9 Killed in Philippines; Manila Braces for - LatestLY",https://news.google.com/rss/articles/CBMiggJBVV95cUxOWEdOOGtpal9BSTlkREdFTVNVSE5TVUNvS3pxOGlwUGFNaG5pejNYbVdKaWkyRWtLd2RqVWVwSkRxZTF2UHdRbi04dGlpTzR1YWpPMDZJclh1aUd0RDNGX1I5ajNjX0d6N09kR3dpZXU0bDBINEV6bkQ1dENfZWhRUUNwLUJIV3N6MWpaZmx0dGdWLWRjVDBlNGJNTWZ4UHQ4T3FIdEpLM3k2SmhTNkdZOGZpNkgyQzlqaTF6NXJvdm5SbktqazBENDc2QzR5YWdzRDBxdnIwRTlRYUNLaHVkU1RYQ1B4UnFRMHowWEdLaUdwMDNKaGN4YzNuZzZ6bjgzaUHSAYICQVVfeXFMTlhHTjhraWpfQUk5ZERHRU1TVUhOU1VDb0t6cThpcFBhTWhuaXozWG1XSmlpMkVrS3dkalVlcEpEcWUxdlB3UW4tOHRpaU80dWFqTzA2SXJYdWlHdEQzRl9SOWozY19HejdPZEd3aWV1NGwwSDRFem5ENXRDX2VoUVFDcC1CSFdzejFqWmZsdHRnVi1kY1QwZTRiTU1meFB0OE9xSHRKSzN5NkpoUzZHWThmaTZIMkM5amkxejVyb3ZuUm5LamswRDQ3NkM0eWFnc0QwcXZyMEU5UWFDS2h1ZFNUWENQeFJxUTB6MFhHS2lHcDAzSmhjeGMzbmc2em44M2lB?oc=5,2025-09-25 12:08:22,LatestLY,"<a href=""https://news.google.com/rss/articles/CBMiggJBVV95cUxOWEdOOGtpal9BSTlkREdFTVNVSE5TVUNvS3pxOGlwUGFNaG5pejNYbVdKaWkyRWtLd2RqVWVwSkRxZTF2UHdRbi04dGlpTzR1YWpPMDZJclh1aUd0RDNGX1I5ajNjX0d6N09kR3dpZXU0bDBINEV6bkQ1dENfZWhRUUNwLUJIV3N6MWpaZmx0dGdWLWRjVDBlNGJNTWZ4UHQ4T3FIdEpLM3k2SmhTNkdZOGZpNkgyQzlqaTF6NXJvdm5SbktqazBENDc2QzR5YWdzRDBxdnIwRTlRYUNLaHVkU1RYQ1B4UnFRMHowWEdLaUdwMDNKaGN4YzNuZzZ6bjgzaUHSAYICQVVfeXFMTlhHTjhraWpfQUk5ZERHRU1TVUhOU1VDb0t6cThpcFBhTWhuaXozWG1XSmlpMkVrS3dkalVlcEpEcWUxdlB3UW4tOHRpaU80dWFqTzA2SXJYdWlHdEQzRl9SOWozY19HejdPZEd3aWV1NGwwSDRFem5ENXRDX2VoUVFDcC1CSFdzejFqWmZsdHRnVi1kY1QwZTRiTU1meFB0OE9xSHRKSzN5NkpoUzZHWThmaTZIMkM5amkxejVyb3ZuUm5LamswRDQ3NkM0eWFnc0QwcXZyMEU5UWFDS2h1ZFNUWENQeFJxUTB6MFhHS2lHcDAzSmhjeGMzbmc2em44M2lB?oc=5"" target=""_blank"">Super Typhoon Ragasa Landfall in China: 15 Killed in Taiwan, 9 Killed in Philippines; Manila Braces for</a>&nbsp;&nbsp;<font color=""#6f6f6f"">LatestLY</font>",Disaster,en
World News - LatestLY,https://news.google.com/rss/articles/CBMikAJBVV95cUxQalhJblpDbUFTc19tZGRWaU8ycWw3QldzWGZuQ3htTWJpZmIyTDdjaEs5Z3pYSWUyWkxSempSNVhKMFZPT0RTellmQUhNUTgtWGQ5OW00c0g2SERyMlg4eGtHTzJMNmhIaDJ2RXU3M1NsTkpjemVqMS1mT2RlQUt4Nmw0VHNFS3BpNGQ1Y1JkVUhrSnY2MkZmV0NnbXoyNDVjbkdXV193R0t2NXM5Z1VzRS14cDg2WDJuQ0Jldk9odDBWUTEtZmNiSDFYXzF1TlN5aHVKb2lFSUYwMnpiREw2SnRfN1lhQ0dRV0RkSkNJQjNhNFRuMHhHbnlrS3BtZFJTTGVUYldQSlVET2N3OWlCd9IBkAJBVV95cUxQalhJblpDbUFTc19tZGRWaU8ycWw3QldzWGZuQ3htTWJpZmIyTDdjaEs5Z3pYSWUyWkxSempSNVhKMFZPT0RTellmQUhNUTgtWGQ5OW00c0g2SERyMlg4eGtHTzJMNmhIaDJ2RXU3M1NsTkpjemVqMS1mT2RlQUt4Nmw0VHNFS3BpNGQ1Y1JkVUhrSnY2MkZmV0NnbXoyNDVjbkdXV193R0t2NXM5Z1VzRS14cDg2WDJuQ0Jldk9odDBWUTEtZmNiSDFYXzF1TlN5aHVKb2lFSUYwMnpiREw2SnRfN1lhQ0dRV0RkSkNJQjNhNFRuMHhHbnlrS3BtZFJTTGVUYldQSlVET2N3OWlCdw?oc=5,2025-09-25 11:36:22,LatestLY,"<a href=""https://news.google.com/rss/articles/CBMikAJBVV95cUxQalhJblpDbUFTc19tZGRWaU8ycWw3QldzWGZuQ3htTWJpZmIyTDdjaEs5Z3pYSWUyWkxSempSNVhKMFZPT0RTellmQUhNUTgtWGQ5OW00c0g2SERyMlg4eGtHTzJMNmhIaDJ2RXU3M1NsTkpjemVqMS1mT2RlQUt4Nmw0VHNFS3BpNGQ1Y1JkVUhrSnY2MkZmV0NnbXoyNDVjbkdXV193R0t2NXM5Z1VzRS14cDg2WDJuQ0Jldk9odDBWUTEtZmNiSDFYXzF1TlN5aHVKb2lFSUYwMnpiREw2SnRfN1lhQ0dRV0RkSkNJQjNhNFRuMHhHbnlrS3BtZFJTTGVUYldQSlVET2N3OWlCd9IBkAJBVV95cUxQalhJblpDbUFTc19tZGRWaU8ycWw3QldzWGZuQ3htTWJpZmIyTDdjaEs5Z3pYSWUyWkxSempSNVhKMFZPT0RTellmQUhNUTgtWGQ5OW00c0g2SERyMlg4eGtHTzJMNmhIaDJ2RXU3M1NsTkpjemVqMS1mT2RlQUt4Nmw0VHNFS3BpNGQ1Y1JkVUhrSnY2MkZmV0NnbXoyNDVjbkdXV193R0t2NXM5Z1VzRS14cDg2WDJuQ0Jldk9odDBWUTEtZmNiSDFYXzF1TlN5aHVKb2lFSUYwMnpiREw2SnRfN1lhQ0dRV0RkSkNJQjNhNFRuMHhHbnlrS3BtZFJTTGVUYldQSlVET2N3OWlCdw?oc=5"" target=""_blank"">World News</a>&nbsp;&nbsp;<font color=""#6f6f6f"">LatestLY</font>",Disaster,en
